data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,data101,data102,data103,data104,data105,data106,data107,data108,data109,data110,data111,data112,data113,data114,data115,data116,data117,data118,data119,data120,data121,data122,data123,data124,data125,data126,data127,data128,data129,data130,data131,data132,data133,data134,data135,data136,data137,data138,data139,data140,data141,data142,data143,data144,data145,data146,data147,data148,data149,data150,data151,data152,data153,data154,data155,data156,data157,data158,data159,data160,data161,data162,data163,data164,data165,data166,data167,data168,data169,data170,data171,data172,data173,data174,data175,data176,data177,data178,data179,data180,data181,data182,data183,data184,data185,data186,data187,data188,data189,data190,data191,data192,data193,data194,data195,data196,data197,data198,data199,data200,Results
9,13,15,20,27,33,66,100,130,164,175,198,223,253,284,332,422,533,647,810,934,1066,1250,1427,1605,1831,2132,2394,2678,3058,3387,3744,4188,4591,4980,5499,5930,6342,6737,7227,7599,7968,8440,8836,9280,9878,10398,10887,11499,11978,12452,12917,13450,13842,14192,14602,14920,15208,15548,15811,16014,16204,16382,16493,16585,16694,16783,16887,17048,17205,17384,17635,17858,18098,18364,18724,19042,19387,19843,20221,20614,21122,21538,21992,22567,23030,23505,23979,24570,25041,25517,26103,26571,27021,27610,28067,28557,29138,29628,30083,30554,31100,31544,31964,32473,32874,33265,33745,34120,34482,34829,35247,35566,35862,36217,36487,36750,37054,37294,37501,37740,37927,38101,38236,38395,38519,38623,38731,38819,38901,38936,38963,38970,38977,38953,38958,38899,38816,38743,38648,38505,38364,38211,37989,37786,37561,37239,36946,36611,36227,35670,35158,34579,33744,32979,32135,30962,29932,28818,27311,26016,24628,23151,21179,19526,17800,15562,13742,11926,9682,8097,6752,5596,4381,3551,2845,2100,1635,1213,798,516,300,117,37,7,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,g
56,51,82,88,104,106,123,128,150,180,194,227,255,314,349,387,456,530,626,783,940,1118,1374,1596,1823,2059,2365,2634,2919,3300,3619,3956,4415,4829,5282,5858,6301,6725,7102,7535,7876,8248,8724,9167,9638,10282,10803,11329,11960,12442,12875,13300,13791,14164,14545,14978,15336,15641,15985,16243,16456,16648,16855,17009,17163,17371,17563,17755,18009,18239,18479,18797,19081,19391,19733,20154,20510,20867,21330,21708,22085,22551,22938,23338,23875,24301,24733,25180,25738,26172,26649,27182,27616,28065,28623,29079,29537,30104,30560,31007,31445,31970,32379,32787,33284,33654,34027,34481,34835,35170,35490,35886,36191,36481,36826,37058,37290,37570,37764,37950,38181,38330,38482,38605,38767,38881,38958,39052,39123,39148,39189,39202,39194,39209,39173,39152,39084,38988,38894,38789,38636,38498,38345,38124,37927,37708,37386,37103,36764,36379,35828,35341,34773,33969,33232,32399,31258,30245,29141,27640,26333,24970,23495,21566,19944,18227,16023,14195,12355,10091,8425,7026,5822,4554,3696,2953,2180,1686,1260,808,524,298,104,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g
36,36,46,58,64,76,89,97,105,123,139,157,181,207,234,276,344,391,477,606,732,882,1091,1273,1486,1711,1992,2225,2496,2843,3148,3447,3872,4212,4593,5128,5547,5969,6380,6843,7197,7539,7973,8335,8750,9316,9810,10331,10993,11514,12011,12486,13051,13468,13867,14355,14728,15087,15498,15799,16070,16310,16559,16746,16893,17063,17206,17363,17579,17762,17984,18238,18472,18722,18983,19340,19648,19972,20399,20754,21114,21567,21933,22307,22791,23188,23602,24019,24545,24976,25411,25970,26427,26877,27449,27905,28350,28919,29387,29832,30302,30847,31311,31732,32296,32690,33086,33575,33958,34314,34661,35104,35415,35725,36107,36383,36649,36963,37198,37416,37667,37859,38032,38205,38388,38520,38629,38767,38856,38928,38987,39014,39041,39048,39038,39018,38985,38938,38863,38779,38671,38550,38401,38202,38006,37791,37480,37201,36869,36487,35942,35438,34865,34039,33281,32434,31273,30252,29139,27942,26317,24916,23426,21464,19815,18097,15866,14035,12205,9966,8336,6966,5782,4512,3667,2944,2177,1691,1276,834,563,351,156,91,45,33,27,56,37,14,0,0,0,0,0,0,0,0,0,0,g
63,64,67,80,76,86,94,105,117,137,167,198,219,251,285,335,395,430,512,594,682,799,980,1160,1362,1576,1857,2106,2347,2676,2959,3248,3655,3987,4353,4868,5331,5773,6230,6739,7114,7436,7853,8218,8610,9163,9658,10164,10827,11378,11908,12390,12939,13319,13680,14113,14449,14766,15133,15395,15628,15820,16001,16100,16173,16260,16342,16439,16594,16740,16908,17138,17341,17587,17834,18190,18502,18841,19275,19644,20055,20543,20924,21325,21847,22278,22730,23184,23770,24231,24721,25316,25796,26270,26870,27341,27825,28442,28934,29417,29902,30502,30974,31439,31991,32414,32876,33381,33781,34176,34552,35011,35359,35688,36084,36411,36709,37051,37303,37539,37825,38042,38217,38395,38594,38736,38890,39042,39134,39209,39276,39313,39338,39342,39336,39321,39293,39229,39166,39081,38953,38823,38678,38464,38269,38046,37721,37426,37086,36700,36156,35646,35067,34224,33439,32565,31380,30306,29145,27589,26227,24779,23234,21220,19500,17728,15468,13589,11724,9443,7890,6567,5431,4223,3395,2687,1986,1514,1106,707,457,250,86,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g
35,29,32,38,49,50,57,72,100,124,149,170,201,255,302,333,387,460,527,648,767,903,1093,1288,1506,1733,2034,2272,2514,2841,3126,3424,3824,4172,4555,5085,5541,5995,6423,6902,7249,7578,8007,8390,8819,9420,9937,10479,11176,11713,12229,12691,13220,13572,13902,14313,14628,14915,15242,15484,15721,15886,16060,16172,16282,16415,16533,16674,16876,17058,17247,17500,17729,17959,18211,18559,18878,19200,19633,19992,20345,20802,21162,21537,22030,22446,22867,23323,23870,24326,24771,25327,25789,26247,26844,27328,27803,28414,28898,29366,29838,30416,30871,31311,31849,32270,32687,33194,33582,33959,34325,34753,35077,35396,35779,36069,36338,36670,36918,37156,37413,37601,37786,37962,38159,38302,38423,38577,38674,38735,38812,38847,38848,38872,38864,38850,38815,38756,38678,38595,38452,38324,38180,37983,37827,37604,37311,37033,36694,36330,35783,35286,34714,33893,33144,32317,31153,30134,29023,27513,26204,24790,23296,21348,19711,17990,15764,13950,12116,9876,8275,6892,5711,4482,3637,2904,2148,1657,1236,794,514,294,110,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g
28,29,32,30,32,33,41,46,56,73,89,106,127,156,187,221,267,305,348,447,548,667,843,1004,1188,1394,1676,1910,2144,2436,2697,2983,3362,3689,4034,4504,4930,5371,5847,6392,6753,7085,7485,7812,8177,8684,9140,9630,10291,10833,11367,11874,12454,12873,13261,13731,14084,14417,14809,15091,15370,15582,15806,15937,16020,16103,16167,16253,16357,16492,16620,16822,17049,17250,17489,17832,18135,18462,18914,19298,19695,20205,20615,21032,21568,22018,22482,22951,23560,24056,24548,25168,25657,26149,26760,27263,27773,28401,28910,29384,29889,30476,30950,31401,31958,32391,32800,33306,33709,34103,34473,34919,35247,35589,35970,36272,36552,36914,37160,37387,37665,37868,38073,38248,38437,38573,38707,38864,38963,39046,39113,39164,39184,39194,39206,39183,39163,39098,39035,38981,38841,38726,38569,38376,38192,37971,37666,37383,37053,36673,36147,35625,35046,34203,33435,32589,31425,30395,29278,28073,26442,25025,23519,21533,19859,18122,15873,14032,12186,9920,8284,6901,5723,4487,3630,2912,2150,1662,1234,793,515,305,120,38,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,g
85,78,101,109,118,130,139,149,153,168,173,200,218,243,272,303,370,420,491,607,727,877,1092,1294,1533,1753,2056,2293,2553,2897,3187,3510,3921,4307,4703,5262,5716,6182,6581,7036,7359,7673,8115,8502,8948,9553,10066,10599,11273,11788,12267,12702,13190,13556,13910,14341,14670,14985,15351,15615,15854,16059,16276,16424,16565,16751,16922,17105,17382,17600,17844,18153,18407,18672,18962,19338,19678,20043,20497,20839,21191,21645,22026,22388,22863,23268,23678,24115,24662,25090,25525,26068,26513,26954,27525,27990,28456,29036,29513,29994,30451,31012,31447,31876,32402,32818,33233,33732,34103,34476,34823,35240,35577,35891,36249,36541,36816,37128,37368,37584,37830,38005,38182,38340,38509,38634,38756,38880,38959,39021,39070,39094,39114,39119,39107,39081,39046,38975,38900,38809,38675,38549,38397,38187,37987,37791,37483,37201,36862,36506,35929,35436,34846,34007,33246,32431,31253,30244,29127,27624,26320,24907,23417,21466,19806,18104,15873,14047,12213,9976,8328,6946,5750,4505,3644,2910,2147,1656,1234,819,527,307,124,34,9,0,32,7,4,0,8,0,2,0,0,0,0,0,0,0,g
26,33,38,52,59,68,85,107,120,151,148,174,199,224,234,256,290,319,359,436,514,619,786,947,1119,1303,1546,1752,1975,2283,2548,2838,3216,3537,3876,4347,4765,5205,5653,6181,6576,6943,7373,7715,8069,8548,8995,9485,10118,10645,11180,11676,12263,12693,13105,13571,13907,14256,14600,14862,15110,15322,15540,15699,15820,15959,16069,16196,16371,16541,16717,16971,17211,17463,17730,18084,18387,18725,19169,19560,19936,20446,20859,21246,21782,22209,22631,23084,23666,24135,24625,25212,25697,26208,26806,27304,27789,28381,28869,29356,29832,30426,30901,31359,31919,32357,32782,33300,33701,34095,34481,34941,35291,35630,36035,36344,36642,37016,37286,37547,37844,38057,38240,38425,38618,38755,38888,39040,39146,39226,39308,39355,39373,39406,39386,39366,39326,39263,39224,39126,38991,38866,38721,38512,38312,38086,37783,37508,37156,36765,36209,35689,35101,34238,33456,32581,31396,30341,29204,27643,26274,24809,23280,21214,19493,17699,15393,13531,11691,9467,7916,6588,5450,4241,3410,2707,1978,1505,1102,689,431,238,78,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g
19,20,23,37,59,82,106,106,133,142,177,192,216,270,321,385,484,540,616,707,815,933,1121,1311,1536,1778,2095,2341,2593,2913,3185,3472,3869,4222,4616,5140,5588,6044,6481,6968,7316,7648,8075,8464,8895,9499,10004,10550,11207,11757,12263,12730,13231,13567,13892,14285,14592,14877,15243,15498,15711,15906,16102,16232,16339,16469,16587,16729,16937,17121,17314,17571,17789,18030,18286,18651,18974,19316,19767,20143,20534,21046,21446,21854,22365,22807,23263,23723,24326,24787,25267,25878,26342,26835,27452,27919,28418,29033,29515,30018,30487,31064,31535,31957,32539,32947,33333,33827,34196,34570,34924,35334,35654,35961,36321,36611,36875,37193,37437,37642,37891,38068,38229,38382,38577,38706,38836,38965,39061,39129,39180,39204,39222,39211,39206,39182,39149,39086,39016,38925,38778,38647,38506,38295,38105,37892,37581,37298,36966,36592,36046,35541,34959,34129,33374,32534,31364,30356,29257,27757,26429,25041,23523,21534,19854,18109,15857,14025,12175,9930,8293,6925,5739,4496,3642,2900,2153,1656,1232,795,517,298,115,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g
50,46,46,41,48,65,67,66,76,83,92,113,130,174,194,231,278,320,370,445,535,644,798,969,1146,1347,1637,1850,2081,2364,2633,2895,3266,3577,3902,4348,4755,5192,5638,6182,6576,6930,7341,7672,8038,8552,9012,9504,10153,10692,11237,11759,12358,12786,13169,13620,13965,14318,14732,15032,15310,15546,15783,15945,16095,16199,16290,16391,16556,16700,16866,17088,17295,17498,17726,18036,18338,18637,19051,19405,19779,20254,20642,21028,21517,21925,22361,22800,23378,23863,24326,24920,25398,25881,26485,26977,27465,28092,28616,29125,29616,30237,30716,31217,31792,32262,32693,33237,33658,34061,34463,34955,35311,35654,36059,36378,36686,37047,37316,37581,37882,38093,38296,38483,38695,38852,38990,39147,39260,39350,39439,39487,39517,39534,39559,39547,39530,39471,39395,39311,39198,39069,38916,38707,38523,38300,37976,37678,37332,36950,36418,35879,35277,34439,33644,32768,31559,30497,29339,27767,26395,24933,23382,21333,19611,17814,15513,13640,11761,9484,7919,6588,5440,4238,3410,2737,2000,1531,1127,714,456,247,91,41,27,19,8,11,10,7,0,0,0,0,0,0,0,0,0,0,g
45,40,40,59,60,57,68,73,93,103,116,122,151,183,214,248,312,373,419,512,600,698,866,1003,1176,1395,1705,1943,2182,2484,2743,3028,3406,3717,4047,4517,4932,5382,5844,6391,6783,7145,7579,7926,8301,8826,9287,9777,10422,10956,11488,12001,12582,13001,13408,13887,14255,14616,15034,15336,15639,15882,16125,16290,16419,16536,16632,16744,16905,17047,17200,17431,17627,17818,18036,18334,18605,18909,19341,19685,20036,20487,20868,21242,21704,22094,22510,22927,23456,23900,24342,24900,25346,25785,26352,26814,27267,27837,28320,28788,29273,29869,30300,30769,31311,31724,32147,32644,33030,33432,33819,34257,34604,34922,35314,35617,35903,36239,36502,36739,37024,37230,37417,37590,37784,37936,38066,38214,38316,38399,38487,38542,38579,38600,38599,38583,38547,38489,38421,38364,38222,38102,37953,37752,37558,37362,37041,36777,36434,36061,35508,34996,34448,33600,32828,31976,30795,29755,28636,27114,25783,24369,22861,20886,19222,17492,15251,13408,11555,9312,7795,6491,5393,4192,3389,2709,2018,1540,1157,729,461,262,103,39,17,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,g
51,57,59,64,78,82,103,119,139,175,207,249,292,361,428,502,604,692,797,949,1101,1286,1563,1817,2082,2347,2694,2955,3220,3561,3870,4213,4680,5085,5506,6072,6520,6934,7318,7749,8087,8463,9008,9475,9978,10616,11145,11689,12367,12864,13304,13693,14138,14459,14791,15205,15533,15813,16117,16321,16481,16607,16740,16815,16905,17077,17249,17427,17652,17860,18066,18380,18628,18912,19225,19666,20018,20393,20858,21225,21596,22075,22449,22841,23361,23783,24213,24649,25189,25632,26066,26614,27054,27504,28074,28541,29009,29596,30061,30519,30964,31505,31941,32374,32909,33309,33685,34155,34538,34876,35185,35580,35872,36176,36524,36783,37021,37312,37520,37700,37921,38125,38258,38404,38558,38679,38778,38887,38948,38986,39022,39051,39043,39035,39019,38990,38937,38855,38763,38662,38508,38384,38220,38012,37834,37590,37294,36998,36663,36261,35722,35204,34613,33804,33047,32210,31051,30047,28932,27424,26115,24712,23231,21272,19635,17923,15711,13901,12090,9875,8247,6874,5694,4447,3606,2877,2119,1631,1212,807,526,326,152,65,43,23,12,27,3,0,0,4,0,0,0,0,0,5,0,0,g
89,92,97,107,112,114,136,147,168,192,229,248,276,312,348,390,456,521,608,755,911,1076,1340,1554,1791,2014,2305,2556,2823,3191,3498,3837,4300,4710,5141,5724,6164,6598,6972,7432,7768,8136,8624,9051,9528,10156,10682,11250,11891,12380,12826,13236,13710,14072,14416,14838,15154,15447,15782,16018,16227,16402,16586,16727,16864,17056,17220,17411,17669,17883,18112,18429,18681,18949,19246,19658,20028,20383,20849,21241,21607,22125,22529,22934,23457,23890,24348,24793,25367,25822,26279,26851,27317,27782,28355,28825,29299,29870,30330,30787,31233,31778,32204,32622,33126,33521,33900,34386,34731,35066,35414,35820,36136,36414,36758,37046,37295,37584,37818,37999,38244,38426,38567,38724,38887,39005,39110,39210,39276,39328,39367,39385,39393,39386,39371,39341,39286,39207,39123,39020,38872,38737,38585,38366,38181,37964,37649,37357,36999,36615,36056,35553,34963,34123,33365,32499,31338,30300,29175,27684,26334,24951,23457,21469,19805,18071,15854,14023,12203,9988,8344,6954,5764,4528,3664,2926,2162,1668,1256,823,543,320,135,48,28,17,20,7,0,0,0,0,0,0,0,0,0,0,0,0,g
21,32,36,43,52,63,91,121,148,176,206,236,265,324,352,401,461,517,602,732,839,978,1191,1405,1638,1882,2175,2419,2665,3010,3298,3624,4048,4419,4824,5380,5842,6306,6717,7176,7523,7862,8318,8726,9174,9786,10301,10824,11490,12029,12505,12941,13421,13766,14094,14506,14829,15133,15476,15701,15908,16077,16243,16357,16474,16648,16809,16998,17256,17483,17717,18030,18291,18567,18872,19276,19620,19979,20441,20816,21197,21663,22039,22447,22965,23403,23854,24272,24840,25292,25745,26358,26815,27276,27853,28338,28824,29430,29913,30391,30869,31439,31901,32318,32847,33255,33656,34141,34517,34877,35223,35640,35959,36260,36626,36912,37170,37476,37707,37916,38158,38331,38491,38646,38824,38966,39072,39202,39289,39330,39398,39420,39421,39421,39402,39378,39343,39275,39191,39091,38943,38807,38645,38426,38237,38013,37703,37410,37074,36692,36144,35631,35059,34241,33498,32668,31509,30488,29381,27882,26574,25170,23690,21699,20023,18275,16019,14175,12329,10069,8417,7029,5834,4553,3721,2965,2197,1698,1288,846,553,336,149,74,42,28,10,1,5,0,0,0,0,0,0,0,0,0,0,0,g
37,45,52,96,110,127,137,136,139,184,189,208,223,249,280,314,357,414,484,605,725,868,1100,1282,1476,1681,1957,2198,2461,2812,3122,3439,3856,4233,4644,5190,5639,6072,6474,6941,7290,7644,8075,8453,8880,9463,9999,10527,11217,11742,12253,12741,13281,13667,14039,14475,14795,15102,15449,15716,15928,16105,16295,16426,16543,16690,16814,16961,17176,17368,17578,17866,18119,18390,18677,19079,19428,19794,20270,20658,21072,21595,21994,22408,22939,23375,23835,24308,24900,25364,25822,26391,26857,27316,27925,28379,28846,29434,29895,30365,30812,31365,31793,32212,32726,33130,33522,34007,34397,34756,35104,35524,35845,36155,36523,36797,37062,37370,37602,37852,38101,38310,38473,38620,38812,38967,39068,39174,39273,39333,39381,39410,39427,39426,39396,39392,39349,39269,39187,39086,38939,38808,38659,38433,38234,38006,37681,37376,37033,36645,36080,35564,34971,34126,33349,32489,31317,30283,29155,27604,26254,24812,23272,21257,19555,17787,15501,13655,11794,9552,7983,6653,5496,4292,3458,2765,2032,1553,1138,716,450,252,86,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g
