data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,data101,data102,data103,data104,data105,data106,data107,data108,data109,data110,data111,data112,data113,data114,data115,data116,data117,data118,data119,data120,data121,data122,data123,data124,data125,data126,data127,data128,data129,data130,data131,data132,data133,data134,data135,data136,data137,data138,data139,data140,data141,data142,data143,data144,data145,data146,data147,data148,data149,data150,data151,data152,data153,data154,data155,data156,data157,data158,data159,data160,data161,data162,data163,data164,data165,data166,data167,data168,data169,data170,data171,data172,data173,data174,data175,data176,data177,data178,data179,data180,data181,data182,data183,data184,data185,data186,data187,data188,data189,data190,data191,data192,data193,data194,data195,data196,data197,data198,data199,data200,Results
133,157,183,214,237,265,280,301,321,343,367,385,418,455,504,564,613,722,833,949,1056,1153,1228,1272,1331,1371,1381,1385,1396,1388,1380,1358,1328,1301,1296,1253,1238,1201,1172,1140,1104,1055,1023,999,978,957,943,915,885,865,839,825,817,818,823,844,858,890,934,985,1043,1104,1159,1227,1278,1334,1371,1428,1515,1593,1705,1809,1937,2092,2257,2415,2529,2716,2913,3108,3313,3525,3745,3958,4185,4423,4608,4870,5146,5458,5754,6057,6349,6651,6952,7267,7466,7765,8068,8371,8669,8971,9272,9574,9872,10168,10364,10652,10932,11203,11473,11725,11974,12214,12448,12679,12898,13038,13239,13434,13622,13793,13965,14116,14262,14394,14517,14589,14689,14776,14863,14945,15014,15064,15098,15118,15098,15072,15027,14968,14886,14786,14678,14526,14375,14189,13977,13827,13614,13335,13051,12736,12408,12048,11659,11262,10835,10539,10090,9629,9150,8653,8154,7649,7130,6611,6093,5751,5235,4721,4210,3721,3249,2829,2462,2136,1849,1673,1440,1220,1030,859,712,591,487,385,303,256,191,146,130,103,83,82,73,91,85,82,78,100,g
166,204,222,240,259,287,296,309,324,356,369,394,418,459,512,581,628,718,813,905,993,1083,1155,1211,1269,1305,1320,1335,1344,1337,1326,1311,1306,1304,1287,1270,1253,1224,1189,1160,1122,1089,1073,1034,1005,981,964,939,920,917,900,885,889,899,903,933,948,976,1015,1051,1100,1139,1171,1199,1241,1277,1314,1344,1411,1484,1585,1686,1807,1946,2090,2241,2410,2524,2721,2930,3122,3329,3548,3783,4027,4288,4560,4749,5045,5342,5646,5959,6269,6582,6905,7223,7529,7746,8083,8383,8699,9011,9318,9617,9917,10209,10499,10683,10967,11231,11491,11743,11984,12231,12469,12682,12894,13024,13221,13406,13587,13756,13921,14073,14213,14342,14464,14534,14637,14721,14798,14861,14919,14954,14978,14981,14970,14954,14912,14860,14789,14692,14573,14432,14275,14105,13908,13757,13534,13274,12994,12686,12339,11993,11618,11221,10814,10520,10076,9604,9136,8646,8140,7643,7140,6631,6115,5768,5268,4752,4245,3756,3279,2862,2503,2193,1891,1714,1465,1250,1054,887,740,614,504,402,318,270,208,159,113,86,67,61,56,58,63,57,55,56,g
122,144,166,188,212,238,266,279,306,329,354,377,407,441,500,572,653,723,815,928,1014,1099,1183,1237,1293,1325,1341,1346,1369,1350,1355,1336,1303,1273,1256,1230,1204,1192,1152,1102,1070,1017,973,934,899,853,816,793,760,733,710,695,687,684,691,706,722,733,761,794,837,899,960,1040,1127,1218,1308,1372,1470,1567,1673,1789,1918,2076,2234,2402,2593,2729,2923,3124,3336,3563,3792,4049,4296,4554,4822,4990,5252,5533,5837,6137,6465,6775,7093,7390,7696,7893,8203,8505,8811,9113,9413,9705,10000,10282,10567,10751,11029,11299,11567,11820,12066,12303,12534,12756,12974,13109,13308,13498,13679,13852,14019,14168,14308,14436,14559,14630,14743,14850,14930,15000,15053,15084,15103,15100,15090,15071,15022,14974,14886,14783,14655,14512,14349,14170,13963,13815,13571,13312,13021,12715,12387,12026,11639,11240,10818,10539,10088,9620,9144,8650,8148,7648,7135,6620,6100,5751,5230,4719,4213,3718,3247,2831,2459,2135,1847,1672,1436,1224,1035,871,720,599,488,389,306,267,203,154,126,90,81,69,76,70,89,93,81,80,g
161,201,221,256,287,310,327,340,364,377,395,426,461,499,549,619,697,756,856,954,1045,1124,1191,1239,1287,1314,1322,1326,1327,1320,1302,1287,1267,1236,1208,1176,1149,1125,1084,1046,1007,978,944,917,896,898,887,882,874,876,871,865,869,900,922,957,999,1043,1102,1174,1233,1294,1365,1427,1489,1563,1627,1693,1797,1899,2016,2150,2297,2454,2637,2799,2966,3083,3268,3451,3641,3842,4059,4284,4521,4769,5037,5219,5499,5789,6075,6367,6664,6961,7260,7570,7864,8064,8369,8672,8972,9272,9577,9877,10193,10507,10793,10974,11242,11509,11770,12023,12274,12508,12747,12965,13182,13312,13503,13693,13885,14049,14219,14375,14523,14643,14749,14817,14915,15006,15079,15136,15183,15215,15229,15232,15213,15193,15143,15082,14998,14898,14772,14625,14459,14271,14062,13904,13658,13384,13087,12770,12427,12066,11681,11275,10848,10552,10094,9638,9169,8693,8186,7688,7158,6635,6125,5784,5256,4741,4236,3737,3268,2868,2493,2163,1874,1696,1466,1242,1058,894,753,630,518,420,338,286,230,174,135,102,78,65,61,57,62,61,55,54,g
159,182,211,258,273,291,304,317,339,357,373,396,418,452,494,549,618,673,762,861,962,1065,1140,1205,1253,1285,1308,1318,1323,1319,1303,1291,1267,1246,1216,1185,1151,1128,1103,1078,1043,1018,980,934,896,854,816,794,767,747,729,699,693,685,675,686,704,732,749,785,814,854,913,974,1050,1140,1219,1284,1382,1471,1564,1677,1793,1927,2078,2260,2437,2554,2746,2948,3164,3379,3615,3851,4095,4368,4624,4791,5048,5324,5615,5906,6215,6524,6841,7154,7462,7679,7995,8303,8604,8929,9238,9544,9840,10140,10425,10605,10881,11155,11455,11722,11971,12223,12453,12675,12893,13035,13240,13428,13614,13782,13946,14095,14240,14377,14496,14572,14671,14766,14845,14910,14953,14984,15005,15009,14995,14975,14936,14878,14797,14696,14574,14432,14272,14090,13880,13731,13488,13219,12929,12616,12294,11952,11580,11191,10780,10494,10044,9575,9104,8613,8109,7614,7095,6575,6061,5711,5198,4689,4182,3698,3249,2840,2480,2160,1865,1685,1460,1236,1042,874,735,607,499,398,316,263,198,145,111,83,68,55,51,51,52,53,51,51,g
131,156,179,205,229,265,295,322,348,381,407,421,462,522,569,624,720,776,874,982,1065,1146,1212,1264,1314,1343,1369,1370,1365,1363,1334,1322,1312,1280,1258,1229,1194,1160,1125,1082,1041,992,953,912,879,848,813,790,756,728,702,689,690,686,686,701,722,738,770,815,868,935,1005,1075,1164,1252,1337,1380,1487,1577,1670,1802,1933,2072,2241,2405,2574,2702,2905,3095,3296,3511,3738,3964,4214,4459,4713,4900,5180,5465,5762,6065,6382,6692,7011,7332,7641,7850,8163,8479,8793,9104,9412,9718,10018,10317,10610,10803,11095,11364,11635,11897,12151,12393,12628,12855,13071,13208,13409,13610,13801,13990,14159,14316,14460,14586,14716,14784,14884,14968,15041,15103,15159,15204,15222,15221,15240,15216,15170,15112,15035,14939,14809,14651,14491,14311,14104,13945,13693,13433,13126,12812,12465,12100,11715,11309,10877,10585,10144,9668,9181,8686,8181,7671,7154,6633,6112,5766,5253,4732,4224,3731,3255,2834,2467,2144,1852,1673,1436,1221,1051,880,736,623,524,434,351,301,260,196,149,134,117,102,94,109,99,98,101,96,g
172,194,231,251,280,297,310,337,352,368,388,414,447,494,543,611,662,756,856,963,1058,1135,1201,1260,1298,1330,1342,1353,1352,1343,1330,1308,1285,1255,1248,1224,1209,1181,1145,1100,1055,1037,1004,974,963,947,929,908,891,889,873,892,887,905,933,969,994,1060,1112,1168,1246,1294,1338,1390,1432,1471,1508,1562,1629,1715,1811,1919,2044,2172,2314,2462,2566,2732,2907,3089,3285,3513,3715,3938,4178,4439,4616,4888,5178,5479,5785,6089,6392,6717,7021,7330,7531,7839,8149,8461,8776,9086,9392,9701,10004,10298,10504,10793,11071,11334,11598,11856,12121,12362,12585,12798,12940,13147,13346,13537,13719,13893,14056,14207,14344,14475,14556,14669,14774,14861,14939,15000,15046,15081,15095,15097,15092,15065,15021,14956,14874,14775,14650,14507,14340,14151,14011,13783,13545,13286,13011,12690,12359,12000,11609,11231,10931,10483,10038,9567,9080,8581,8099,7587,7083,6561,6213,5691,5175,4662,4156,3676,3215,2801,2451,2127,1933,1676,1431,1220,1029,862,717,596,482,387,331,254,189,140,101,85,62,53,51,58,54,46,48,46,g
140,165,193,219,254,275,300,336,357,375,393,424,453,492,556,619,690,759,849,943,1035,1117,1188,1236,1281,1329,1333,1342,1345,1332,1313,1286,1266,1233,1211,1172,1147,1106,1064,1028,992,955,922,888,859,838,824,805,784,760,742,725,725,724,730,743,754,776,821,872,940,1002,1072,1142,1189,1248,1301,1360,1442,1555,1649,1751,1894,2037,2195,2362,2485,2672,2897,3093,3297,3529,3745,3992,4232,4477,4647,4914,5205,5483,5780,6078,6383,6692,6995,7305,7507,7808,8116,8423,8726,9032,9329,9625,9923,10209,10404,10689,10970,11244,11505,11760,12007,12246,12483,12704,12851,13061,13258,13460,13666,13843,14024,14173,14329,14457,14543,14664,14775,14873,14953,15020,15064,15113,15130,15131,15123,15113,15066,15022,14950,14847,14723,14579,14410,14224,14086,13868,13622,13361,13065,12758,12414,12058,11676,11280,11007,10575,10129,9666,9186,8698,8195,7693,7174,6661,6311,5795,5280,4765,4259,3764,3305,2891,2531,2209,2011,1750,1499,1286,1093,920,767,644,530,425,372,296,225,183,140,122,105,92,105,108,111,111,103,98,g
177,201,222,249,282,308,326,340,360,393,428,449,490,552,602,682,768,826,919,1033,1115,1192,1255,1316,1356,1394,1412,1426,1422,1412,1389,1372,1345,1318,1289,1259,1224,1203,1159,1115,1078,1050,1021,1001,981,967,953,952,947,943,953,973,999,1037,1080,1127,1174,1203,1255,1300,1349,1375,1414,1436,1468,1525,1582,1631,1732,1847,1956,2104,2248,2387,2544,2693,2849,2957,3130,3322,3526,3746,3984,4223,4508,4771,5062,5241,5525,5809,6095,6382,6669,6955,7242,7534,7823,8020,8312,8607,8904,9197,9493,9783,10069,10360,10628,10810,11070,11326,11576,11826,12063,12292,12525,12744,12954,13090,13290,13485,13672,13848,14024,14189,14337,14463,14580,14649,14747,14834,14925,14986,15034,15091,15107,15113,15092,15078,15040,15010,14952,14846,14724,14579,14411,14223,14015,13865,13628,13360,13066,12749,12415,12057,11686,11286,10861,10573,10130,9668,9197,8702,8201,7692,7183,6669,6154,5810,5291,4778,4268,3772,3313,2899,2537,2216,1929,1744,1496,1287,1089,925,771,644,534,429,342,286,243,194,142,103,91,75,93,85,80,75,78,72,g
188,217,228,257,281,302,319,351,374,394,417,437,463,512,543,597,661,715,824,913,999,1078,1151,1207,1253,1281,1298,1314,1319,1310,1299,1288,1259,1246,1210,1175,1153,1127,1093,1056,1010,969,923,882,838,808,782,790,741,714,699,679,662,658,665,676,689,710,723,779,792,826,867,936,1008,1093,1153,1252,1373,1477,1575,1684,1802,1925,2065,2220,2332,2506,2693,2887,3099,3309,3538,3778,4030,4291,4468,4734,5001,5272,5551,5839,6143,6458,6775,7095,7310,7628,7943,8257,8574,8906,9221,9525,9841,10138,10351,10626,10912,11183,11455,11732,11990,12230,12478,12705,12855,13062,13284,13471,13673,13830,13988,14139,14299,14427,14507,14620,14732,14819,14892,14951,15028,15062,15076,15086,15081,15058,15013,14955,14873,14777,14657,14517,14355,14174,14049,13822,13584,13317,13037,12728,12400,12045,11668,11274,10997,10562,10114,9652,9182,8698,8194,7684,7178,6658,6308,5807,5300,4774,4273,3780,3296,2885,2514,2182,1981,1716,1468,1249,1066,904,747,631,525,423,364,282,215,162,117,87,64,49,50,49,48,53,47,45,g
